"GEOGRAPHY_CODE","GEOGRAPHY_NAME","OBS_VALUE"
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
"E02000001","City of London 001",
